Utente,A,B,Scelta
utente_mc9h0k76_8718,ElevenLabs 5,Grenoble 5,Grenoble Meglio
utente_mc9h0k76_8718,ElevenLabs 7,Grenoble 7,Grenoble Peggio
utente_mc9h0k76_8718,Grenoble Danneggiata 5,Reale 5,Reale Molto Meglio
utente_mc9h0k76_8718,Grenoble 4,ElevenLabs 4,Grenoble Meglio
utente_mc9h0k76_8718,Grenoble 8,ElevenLabs 8,Grenoble Meglio
utente_mc9hj6m7_9714,ElevenLabs 3,Grenoble 3,Grenoble Peggio
utente_mc9hj6m7_9714,ElevenLabs 1,Grenoble 1,Grenoble Peggio
utente_mc9hj6m7_9714,ElevenLabs 5,Grenoble 5,Grenoble Peggio
utente_mc9hj6m7_9714,Grenoble Danneggiata 1,Reale 1,B meglio
utente_mc9hj6m7_9714,Reale 1,ElevenLabs 1,B meglio
utente_mc9hj6m7_9714,Reale 5,ElevenLabs 5,B meglio
utente_mc9hj6m7_9714,Grenoble 10,ElevenLabs 10,Grenoble Peggio
utente_mc9hj6m7_9714,ElevenLabs 7,Grenoble 7,Grenoble Molto Peggio
utente_mc9hj6m7_9714,Reale 4,Grenoble Danneggiata 4,Reale Molto Meglio
utente_mc9hj6m7_9714,Grenoble 4,ElevenLabs 4,Grenoble Molto Peggio
utente_mc9hj6m7_9714,Grenoble 8,ElevenLabs 8,Grenoble Molto Peggio
utente_mc9hj6m7_9714,Grenoble 6,ElevenLabs 6,Grenoble Molto Peggio
utente_mc9hj6m7_9714,Grenoble 2,ElevenLabs 2,Grenoble Molto Peggio
utente_mc9hj6m7_9714,ElevenLabs 4,Reale 4,Reale Molto Meglio
utente_mc9hj6m7_9714,ElevenLabs 9,Grenoble 9,Grenoble Peggio
utente_mc9hj6m7_9714,Grenoble Danneggiata 5,Reale 5,Reale Molto Meglio
utente_mc9hj6m7_9714,Reale 2,Grenoble Danneggiata 2,Reale Molto Meglio
utente_mc9hj6m7_9714,ElevenLabs 2,Reale 2,Reale Molto Meglio
utente_mc9hj6m7_9714,Grenoble Danneggiata 3,Reale 3,Reale Molto Meglio
utente_mc9hj6m7_9714,Reale 3,ElevenLabs 3,Reale Molto Meglio
utente_mc9ksaly_0484,Grenoble Danneggiata 1,Reale 1,Reale Molto Meglio
utente_mc9ksaly_0484,Grenoble Danneggiata 5,Reale 5,Reale Molto Meglio
utente_mc9ksaly_0484,ElevenLabs 5,Grenoble 5,Grenoble Peggio
utente_mc9ksaly_0484,Reale 3,ElevenLabs 3,Uguale
utente_mc9ksaly_0484,Grenoble 8,ElevenLabs 8,Grenoble Meglio
utente_mc9ksaly_0484,Grenoble Danneggiata 3,Reale 3,Reale Molto Meglio
utente_mc9ksaly_0484,ElevenLabs 1,Grenoble 1,Grenoble Peggio
utente_mc9ksaly_0484,ElevenLabs 7,Grenoble 7,Grenoble Peggio
utente_mc9ksaly_0484,Reale 4,Grenoble Danneggiata 4,Reale Molto Meglio
utente_mc9ksaly_0484,ElevenLabs 9,Grenoble 9,Grenoble Peggio
utente_mc9ksaly_0484,ElevenLabs 3,Grenoble 3,Grenoble Peggio
utente_mc9ksaly_0484,Grenoble 6,ElevenLabs 6,Grenoble Molto Peggio
utente_mc9ksaly_0484,Grenoble 2,ElevenLabs 2,Grenoble Peggio
utente_mc9ksaly_0484,Grenoble 4,ElevenLabs 4,Grenoble Meglio
utente_mc9ksaly_0484,ElevenLabs 4,Reale 4,B meglio
utente_mc9ksaly_0484,Reale 2,Grenoble Danneggiata 2,Reale Molto Meglio
utente_mc9ksaly_0484,ElevenLabs 2,Reale 2,Reale Molto Meglio
utente_mc9ksaly_0484,Reale 1,ElevenLabs 1,Uguale
utente_mc9ksaly_0484,Grenoble 10,ElevenLabs 10,Grenoble Peggio
utente_mc9ksaly_0484,Reale 5,ElevenLabs 5,Reale Molto Meglio
utente_mcbwk2mp_6591,Grenoble 8,ElevenLabs 8,Grenoble Meglio
utente_mcbwk2mp_6591,Reale 3,ElevenLabs 3,Reale Molto Meglio
utente_mcbwk2mp_6591,Grenoble Danneggiata 3,Reale 3,B meglio
utente_mcbwk2mp_6591,Grenoble Danneggiata 5,Reale 5,Reale Molto Meglio
utente_mcbwk2mp_6591,ElevenLabs 7,Grenoble 7,Grenoble Meglio
utente_mcbwk2mp_6591,ElevenLabs 3,Grenoble 3,Grenoble Meglio
utente_mcbwk2mp_6591,Grenoble 2,ElevenLabs 2,Grenoble Meglio
utente_mcbwk2mp_6591,ElevenLabs 5,Grenoble 5,Grenoble Molto Meglio
utente_mcbwk2mp_6591,Grenoble 4,ElevenLabs 4,Grenoble Peggio
utente_mcbwk2mp_6591,Reale 2,Grenoble Danneggiata 2,A meglio
utente_mcbwk2mp_6591,Grenoble 10,ElevenLabs 10,Grenoble Molto Meglio
utente_mcbwk2mp_6591,Reale 1,ElevenLabs 1,B meglio
utente_mcbwk2mp_6591,ElevenLabs 9,Grenoble 9,Grenoble Meglio
utente_mcbwk2mp_6591,Grenoble 6,ElevenLabs 6,Grenoble Peggio
utente_mcbwk2mp_6591,ElevenLabs 2,Reale 2,Reale Molto Meglio
utente_mcbwk2mp_6591,Reale 5,ElevenLabs 5,Reale Molto Meglio
utente_mcbwk2mp_6591,Grenoble Danneggiata 1,Reale 1,Reale Molto Meglio
utente_mcbwk2mp_6591,ElevenLabs 4,Reale 4,Reale Molto Meglio
utente_mcbwk2mp_6591,ElevenLabs 1,Grenoble 1,Grenoble Peggio
utente_mcbwk2mp_6591,Reale 4,Grenoble Danneggiata 4,Reale Molto Meglio
utente_mcbx2qan_4587,Grenoble 4,ElevenLabs 4,Grenoble Meglio
utente_mcbx2qan_4587,ElevenLabs 9,Grenoble 9,Grenoble Meglio
utente_mcbx2qan_4587,ElevenLabs 4,Reale 4,Reale Molto Meglio
utente_mcbx2qan_4587,Grenoble Danneggiata 3,Reale 3,B meglio
utente_mcbx2qan_4587,Grenoble 8,ElevenLabs 8,Grenoble Meglio
utente_mcbx2qan_4587,ElevenLabs 5,Grenoble 5,Grenoble Molto Meglio
utente_mcbx2qan_4587,Reale 3,ElevenLabs 3,B molto meglio
utente_mcbx2qan_4587,Reale 5,ElevenLabs 5,Reale Molto Meglio
utente_mcbx2qan_4587,Grenoble 2,ElevenLabs 2,Grenoble Peggio
utente_mcbx2qan_4587,Grenoble Danneggiata 5,Reale 5,Reale Molto Meglio
utente_mcbx2qan_4587,ElevenLabs 7,Grenoble 7,Grenoble Peggio
utente_mcbx2qan_4587,Reale 4,Grenoble Danneggiata 4,Reale Molto Meglio
utente_mcbx2qan_4587,Grenoble Danneggiata 1,Reale 1,Reale Molto Meglio
utente_mcbx2qan_4587,ElevenLabs 2,Reale 2,Reale Molto Meglio
utente_mcbx2qan_4587,Reale 2,Grenoble Danneggiata 2,Reale Molto Meglio
utente_mcbx2qan_4587,ElevenLabs 1,Grenoble 1,Grenoble Peggio
utente_mcbx2qan_4587,Grenoble 6,ElevenLabs 6,Grenoble Molto Peggio
utente_mcbx2qan_4587,ElevenLabs 3,Grenoble 3,Grenoble Peggio
utente_mcbx2qan_4587,Grenoble 10,ElevenLabs 10,Grenoble Meglio
utente_mcbx2qan_4587,Reale 1,ElevenLabs 1,Reale Molto Meglio
utente_mcbxp96z_7159,Grenoble Danneggiata 3,Reale 3,Reale Molto Meglio
utente_mcbxp96z_7159,ElevenLabs 1,Grenoble 1,Grenoble Molto Peggio
utente_mcbxp96z_7159,ElevenLabs 5,Grenoble 5,Uguale
utente_mcbxp96z_7159,Grenoble 10,ElevenLabs 10,Uguale
utente_mcbxp96z_7159,Reale 2,Grenoble Danneggiata 2,Reale Molto Meglio
utente_mcbxp96z_7159,Grenoble 8,ElevenLabs 8,Uguale
utente_mcbxp96z_7159,Reale 5,ElevenLabs 5,Reale Molto Meglio
utente_mcbxp96z_7159,Grenoble 6,ElevenLabs 6,Grenoble Peggio
utente_mcbxp96z_7159,Grenoble 2,ElevenLabs 2,Grenoble Peggio
utente_mcbxp96z_7159,ElevenLabs 3,Grenoble 3,Uguale
utente_mcbxp96z_7159,Reale 3,ElevenLabs 3,B meglio
utente_mcbxp96z_7159,Grenoble 4,ElevenLabs 4,Uguale
utente_mcbxp96z_7159,ElevenLabs 2,Reale 2,Reale Molto Meglio
utente_mcbxp96z_7159,Grenoble Danneggiata 5,Reale 5,Reale Molto Meglio
utente_mcbxp96z_7159,Reale 1,ElevenLabs 1,Uguale
utente_mcbxp96z_7159,ElevenLabs 9,Grenoble 9,Grenoble Meglio
utente_mcbxp96z_7159,Reale 4,Grenoble Danneggiata 4,Reale Molto Meglio
utente_mcbxp96z_7159,ElevenLabs 7,Grenoble 7,Grenoble Peggio
utente_mcbxp96z_7159,ElevenLabs 4,Reale 4,Uguale
utente_mcbxp96z_7159,Grenoble Danneggiata 1,Reale 1,Reale Molto Meglio
utente_mcbyc2v4_2494,Grenoble 2,ElevenLabs 2,Uguale
utente_mcbyc2v4_2494,Reale 4,Grenoble Danneggiata 4,Reale Molto Meglio
utente_mcbyc2v4_2494,ElevenLabs 4,Reale 4,Reale Molto Meglio
utente_mcbyc2v4_2494,ElevenLabs 9,Grenoble 9,Uguale
utente_mcbyc2v4_2494,Reale 3,ElevenLabs 3,Reale Molto Meglio
utente_mcbyc2v4_2494,Grenoble 8,ElevenLabs 8,Grenoble Peggio
utente_mcbyc2v4_2494,Grenoble Danneggiata 5,Reale 5,Reale Molto Meglio
utente_mcbyc2v4_2494,Reale 2,Grenoble Danneggiata 2,Reale Molto Meglio
utente_mcbyc2v4_2494,ElevenLabs 7,Grenoble 7,Grenoble Peggio
utente_mcbyc2v4_2494,Grenoble 10,ElevenLabs 10,Grenoble Peggio
utente_mcbyc2v4_2494,Grenoble Danneggiata 1,Reale 1,Reale Molto Meglio
utente_mcbyc2v4_2494,ElevenLabs 3,Grenoble 3,Grenoble Peggio
utente_mcbyc2v4_2494,ElevenLabs 2,Reale 2,Reale Molto Meglio
utente_mcbyc2v4_2494,ElevenLabs 5,Grenoble 5,Grenoble Peggio
utente_mcbyc2v4_2494,Reale 1,ElevenLabs 1,Uguale
utente_mcbyc2v4_2494,Reale 5,ElevenLabs 5,Reale Molto Meglio
utente_mcbyc2v4_2494,Grenoble 4,ElevenLabs 4,Grenoble Molto Peggio
utente_mcbyc2v4_2494,Grenoble 6,ElevenLabs 6,Grenoble Molto Peggio
utente_mcbyc2v4_2494,ElevenLabs 1,Grenoble 1,Grenoble Peggio
utente_mcbyc2v4_2494,Grenoble Danneggiata 3,Reale 3,Reale Molto Meglio
